career_stream,core_subjects,top_interests,traits,example_careers
Aerospace_Engineering,Math|Science|Computers,Physics|Aviation|Space Technology|Engineering,Realistic|Investigative|Logical-Mathematical,Aerospace Engineer|Aircraft Designer|Space Systems Engineer|Aviation Engineer
Fashion_Design,English|Arts|Home_Science,Design|Fashion|Arts|Business,Artistic|Enterprising|Spatial,Fashion Designer|Textile Designer|Fashion Merchandiser|Costume Designer
Food_Science,Science|Home_Science,Biology|Culinary|Chemistry|Nutrition,Investigative|Realistic|Logical-Mathematical,Food Technologist|Nutritionist|Food Safety Officer|Food Researcher
IT_Computer_Science,Math|Science|Computers,Coding|Data Handling|Technology|Networking,Investigative|Realistic|Logical-Mathematical,Software Developer|Data Scientist|Cybersecurity Expert|IT Manager
Sports_Science,Biology|Physical_Education|Chemistry,Sports|Biology|Health|Fitness,Realistic|Social|Bodily-Kinesthetic,Sports Trainer|Physiotherapist|Exercise Scientist|Sports Coach
Culinary_Arts,English|Science|Home_Science,Culinary|Arts|Business|Nutrition,Artistic|Realistic|Bodily-Kinesthetic,Chef|Food Entrepreneur|Restaurant Manager|Culinary Instructor
Photography,Art|English|Physics,Photography|Arts|Design|Media,Artistic|Spatial|Realistic,Photographer|Photojournalist|Commercial Photographer|Photo Editor
Performing_Arts,English|History|Music,Dance|Theater|Music|Film,Artistic|Bodily-Kinesthetic|Interpersonal,Actor|Dancer|Theater Director|Choreographer|Performer
Environmental_Science,Biology|Chemistry|Geography,Environment|Research|Science|Biology,Investigative|Naturalistic|Logical-Mathematical,Environmental Scientist|Ecologist|Conservationist|Climate Analyst
Sports_Management,Business|Economics|English,Sports|Business|Management|Marketing,Enterprising|Social|Interpersonal,Sports Manager|Event Coordinator|Athletic Director|Sports Marketer
Graphic_Design,Art|Computer_Science|English,Design|Arts|Technology|Media,Artistic|Spatial|Conventional,Graphic Designer|UI Designer|Art Director|Brand Designer
Journalism,English|History|Political_Science,Writing|Media|Research|Politics,Enterprising|Linguistic|Investigative,Journalist|Editor|Content Creator|Media Producer
Psychology,Biology|Statistics|English,Psychology|Research|Counseling|Science,Social|Investigative|Intrapersonal,Psychologist|Therapist|Counselor|Researcher
Home_Science,Science|English|Home_Science,Nutrition|Child Development|Interior Design|Culinary,Social|Investigative|Interpersonal,Dietitian|Child Specialist|Interior Designer|Nutritionist
Chartered_Accountancy,Math|English|Economics,Finance|Taxation|Auditing|Business,Conventional|Investigative|Logical-Mathematical,Chartered Accountant|Tax Consultant|Audit Manager|Financial Analyst
Company_Secretary,English|Economics|Math,Law|Compliance|Corporate Governance|Business,Conventional|Enterprising|Linguistic,Company Secretary|Compliance Officer|Corporate Legal Advisor|Regulatory Affairs Manager
