college,country,career_stream,duration,fees,degrees_offered,notes,entrance_test,ranking
IIT Bombay,India,Engineering,4 years,₹250000/year,B.Tech|Dual Degree,Top engineering institute in India,JEE Advanced,1
IIT Delhi,India,Engineering,4 years,₹250000/year,B.Tech|Dual Degree,Excellent placement record,JEE Advanced,2
IIT Madras,India,Engineering,4 years,₹240000/year,B.Tech|M.Tech,Strong research culture,JEE Advanced,3
MIT,USA,Engineering,4 years,$55000/year,B.Tech|MEng,World-leading tech school,SAT/ACT,1
Stanford University,USA,Engineering,4 years,$60000/year,B.S.|M.Eng,Top in innovation & startups,SAT/ACT,2
ETH Zurich,Switzerland,Engineering,3 years,CHF 1500/year,B.Sc.|M.Sc,Top European tech school,None,1
Caltech,USA,Engineering,4 years,$58000/year,B.S.|M.S.,Strong STEM research,ACT/SAT,3
TUM,Germany,Engineering,3 years,€3000/year,B.Sc.|M.Sc.,Top German technical university,None,2
AIIMS Delhi,India,Medical,5.5 years,₹20000/year,MBBS|MD,Top medical college in India,NEET,1
Christian Medical College,India,Medical,5.5 years,₹50000/year,MBBS|MS,Reputed clinical training,NEET,2
Harvard Medical School,USA,Medical,4 years,$65000/year,MD,World leader in medicine,MCAT,1
Johns Hopkins University,USA,Medical,4 years,$63000/year,MD,Excellent research focus,MCAT,2
University of Oxford,UK,Medical,6 years,£38000/year,MBBS,Historic & research heavy,UKCAT,1
SRCC Delhi,India,Commerce,3 years,₹50000/year,B.Com|BBA,Top commerce college in India,CUET,1
St. Xavier's College,India,Commerce,3 years,₹40000/year,B.Com|BMS,Widely respected in commerce,CUET,2
Wharton School,USA,Commerce,4 years,$62000/year,BBA|MBA,Elite global business education,SAT/ACT,1
London School of Economics,UK,Commerce,3 years,£23000/year,BSc|MSc,Top in economics & business,SAT/ACT,2
National University of Singapore,Singapore,Commerce,4 years,S$30000/year,BBA|MSc,Strong Asia business presence,SAT,3
NID Ahmedabad,India,Design,4 years,₹300000/year,B.Des,Top design institute in India,NID Entrance,1
IISc Bangalore,India,Design,4 years,₹350000/year,B.Des|M.Des,Great design & tech combo,IISc Entrance,2
RISD,USA,Design,4 years,$55000/year,BFA|MFA,Leading art/design school,SAT/ACT,1
Royal College of Art,UK,Design,2 years,£28000/year,MFA,Top postgraduate design school,None,1
NLSIU Bangalore,India,Law,5 years,₹280000/year,LLB|LLM,Top law school in India,CLAT,1
Symbiosis Law School,India,Law,5 years,₹250000/year,LLB|LLM,Widely respected,SLAT,2
Harvard Law School,USA,Law,3 years,$70000/year,J.D.|LL.M,Elite global law school,LSAT,1
University of Cambridge,UK,Law,3 years,£27000/year,LLB|LLM,Historic legal education,LNAT,1
IIIT Hyderabad,India,Computer_Science,4 years,₹400000/year,B.Tech|M.Tech,Top CS & research focus,JEE Advanced,1
Carnegie Mellon University,USA,Computer_Science,4 years,$58000/year,B.S.|M.S.,World leader in CS,SAT/ACT,1
Stanford University,USA,Computer_Science,4 years,$60000/year,B.S.|M.S.,AI & systems excellence,SAT/ACT,2
University of Toronto,Canada,Computer_Science,4 years,C$45000/year,B.Sc.|M.Sc.,Strong global CS program,SAT/ACT,1
Taylor's University,Malaysia,Business_Management,3 years,MYR 40000/year,BBA|MBA,Good regional business program,None,3
HEC Paris,France,Business_Management,3 years,€30000/year,BBA|MSc,Top European business school,None,1
University of Melbourne,Australia,Education,4 years,A$30000/year,B.Ed.|M.Ed.,Top education research,None,1
Teachers College Columbia,USA,Education,2 years,$45000/year,M.Ed.,Prime education institute,None,1
University of British Columbia,Canada,Environmental_Science,4 years,C$40000/year,B.Sc.|M.Sc.,Top env science research,None,1
Wageningen University,Netherlands,Environmental_Science,3 years,€10000/year,B.Sc.|M.Sc.,Outstanding sustainability focus,None,1
Berklee College of Music,USA,Music_Media,4 years,$50000/year,B.Mus.|M.Mus.,Leading creative and performance school,None,1
Royal College of Music,UK,Music_Media,3 years,£20000/year,B.Mus.|M.Mus.,Top classical & modern music training,None,1
Juilliard School,USA,Music_Media,4 years,$55000/year,B.Mus.|M.Mus.,Top performance & theory school,None,2
SPA Delhi,India,Architecture,5 years,₹280000/year,B.Arch|M.Arch,Top architecture college in India,NATA,1
CEPT University,India,Architecture,5 years,₹260000/year,B.Arch|M.Arch,Excellent for urban design & planning,NATA,2
IIT Kharagpur,India,Architecture,5 years,₹250000/year,B.Arch|M.Arch,Strong in sustainable architecture,JEE Advanced,3
Sir JJ College of Architecture,India,Architecture,5 years,₹200000/year,B.Arch|M.Arch,Historic institute with strong alumni,NATA,4
MIT,USA,Architecture,5 years,$58000/year,B.Arch|M.Arch,World leader in architectural innovation,SAT/ACT,1
Harvard Graduate School of Design,USA,Architecture,5 years,$65000/year,M.Arch,Top postgraduate architecture school,GRE,2
University College London,UK,Architecture,5 years,£29000/year,B.Sc.|M.Arch,Strong in urban planning & theory,None,1
Delft University of Technology,Netherlands,Architecture,3 years,€15000/year,B.Sc.|M.Sc.,Excellent in technical architecture,None,2
ETH Zurich,Switzerland,Architecture,3 years,CHF 2000/year,B.Sc.|M.Sc.,Top for structural engineering focus,None,3
National University of Singapore,Singapore,Architecture,4 years,S$35000/year,B.Arch|M.Arch,Strong Asian architecture focus,None,4
University of Tokyo,Japan,Architecture,4 years,¥1000000/year,B.Eng|M.Eng,Excellent in earthquake-resistant design,None,5
University of Sydney,Australia,Architecture,5 years,A$45000/year,B.Des.Arch|M.Arch,Strong in environmental architecture,None,6
University of Cambridge,UK,Architecture,3 years,£31000/year,BA|M.Phil,Historic architecture & preservation,None,7
Columbia University,USA,Architecture,5 years,$62000/year,B.A.|M.Arch,Strong in urban design theory,SAT/ACT,8
University of Hong Kong,Hong Kong,Architecture,4 years,HK$180000/year,B.A.S.|M.Arch,Top in Asian architectural studies,None,9
University of Pennsylvania,USA,Architecture,5 years,$60000/year,B.A.|M.Arch,Excellent design studio culture,SAT/ACT,10
JNU Delhi,India,Humanities,3 years,₹15000/year,BA|MA|M.Phil|PhD,Top humanities university in India,JNUEE,1
University of Delhi,India,Humanities,3 years,₹20000/year,BA|MA,Wide range of humanities courses,DUET,2
University of Calcutta,India,Humanities,3 years,₹12000/year,BA|MA,Historic university strong in arts,Merit-based,3
University of Hyderabad,India,Humanities,2 years,₹18000/year,MA|M.Phil|PhD,Excellent research in humanities,University Entrance,4
Fergusson College,India,Humanities,3 years,₹25000/year,BA|B.A.,Reputed liberal arts college,Merit-based,5
Harvard University,USA,Humanities,4 years,$55000/year,BA|MA|PhD,World leader in humanities education,SAT/ACT,1
University of Oxford,UK,Humanities,3 years,£28000/year,BA|MA|PhD,Historic excellence in humanities,Personal Statement,2
University of Cambridge,UK,Humanities,3 years,£27000/year,BA|M.Phil|PhD,Strong in literature & philosophy,Interview,3
